title,abstract,domain,technologies,Year,source_url,combined_text,uniqueness_score
Usability Study and Prototype for Language Learning,Design and evaluate an interactive interface that improves user experience around language learning through prototyping and user studies.,Human-Computer Interaction,"User Studies, React, Figma",2025.0,https://www.google.com/search?q=Usability+Study+and+Prototype+for+Language+Learning,"Usability Study and Prototype for Language Learning | Design and evaluate an interactive interface that improves user experience around language learning through prototyping and user studies. | Human-Computer Interaction | User Studies, React, Figma",0.23464882
Marketplace for Gesture Control,"Build a web platform that enables users to manage and interact with gesture control data, featuring authentication, dashboards, and real-time updates.",Web Development,"MongoDB, React, CSS",2024.0,https://www.google.com/search?q=Marketplace+for+Gesture+Control,"Marketplace for Gesture Control | Build a web platform that enables users to manage and interact with gesture control data, featuring authentication, dashboards, and real-time updates. | Web Development | MongoDB, React, CSS",0.3130585
Scalable Language Learning on Cloud,"Implement a scalable cloud solution for processing language learning workloads, using containerization and orchestration for reliability.",Cloud Computing,"AWS, Azure, Terraform, Kubernetes",2024.0,https://www.google.com/search?q=Scalable+Language+Learning+on+Cloud,"Scalable Language Learning on Cloud | Implement a scalable cloud solution for processing language learning workloads, using containerization and orchestration for reliability. | Cloud Computing | AWS, Azure, Terraform, Kubernetes",0.23594296
Marketplace for Fraud,"Build a web platform that enables users to manage and interact with fraud data, featuring authentication, dashboards, and real-time updates.",Web Development,"React, Next.js, MongoDB, Express",2024.0,https://www.google.com/search?q=Marketplace+for+Fraud,"Marketplace for Fraud | Build a web platform that enables users to manage and interact with fraud data, featuring authentication, dashboards, and real-time updates. | Web Development | React, Next.js, MongoDB, Express",0.29208487
Scalable Student Performance on Cloud,"Implement a scalable cloud solution for processing student performance workloads, using containerization and orchestration for reliability.",Cloud Computing,"Terraform, Kubernetes, Docker, GCP",2024.0,https://www.google.com/search?q=Scalable+Student+Performance+on+Cloud,"Scalable Student Performance on Cloud | Implement a scalable cloud solution for processing student performance workloads, using containerization and orchestration for reliability. | Cloud Computing | Terraform, Kubernetes, Docker, GCP",0.15604603
Smart Contract-based Student Performance System,Design a decentralized application using smart contracts to manage student performance transactions with transparency and immutability.,Blockchain,"Solidity, IPFS",2023.0,https://www.google.com/search?q=Smart+Contract-based+Student+Performance+System,"Smart Contract-based Student Performance System | Design a decentralized application using smart contracts to manage student performance transactions with transparency and immutability. | Blockchain | Solidity, IPFS",0.32149184
Path Planning for Time Series Forecasting Robot,"Develop a robotic system capable of performing time series forecasting tasks autonomously using sensors, actuators and planning algorithms.",Robotics,"OpenCV, ROS, Lidar, Motor Drivers, C++",2025.0,https://www.google.com/search?q=Path+Planning+for+Time+Series+Forecasting+Robot,"Path Planning for Time Series Forecasting Robot | Develop a robotic system capable of performing time series forecasting tasks autonomously using sensors, actuators and planning algorithms. | Robotics | OpenCV, ROS, Lidar, Motor Drivers, C++",0.32261956
Edge-based Sign Language Analytics,"Process sign language data at the edge to reduce latency and bandwidth, deploying lightweight ML models on edge devices.",Edge Computing,"Raspberry Pi, Docker",2023.0,https://www.google.com/search?q=Edge-based+Sign+Language+Analytics,"Edge-based Sign Language Analytics | Process sign language data at the edge to reduce latency and bandwidth, deploying lightweight ML models on edge devices. | Edge Computing | Raspberry Pi, Docker",0.21389711
Disaster Response Recognition using Computer Vision,Use computer vision techniques to detect and analyze disaster response from images or video in real-time with high accuracy.,Computer Vision,"OpenCV, YOLO, Python, PyTorch, MediaPipe",2025.0,https://www.google.com/search?q=Disaster+Response+Recognition+using+Computer+Vision,"Disaster Response Recognition using Computer Vision | Use computer vision techniques to detect and analyze disaster response from images or video in real-time with high accuracy. | Computer Vision | OpenCV, YOLO, Python, PyTorch, MediaPipe",0.40351796
Language Learning Recognition using Computer Vision,Use computer vision techniques to detect and analyze language learning from images or video in real-time with high accuracy.,Computer Vision,"YOLO, Python, OpenCV",2024.0,https://www.google.com/search?q=Language+Learning+Recognition+using+Computer+Vision,"Language Learning Recognition using Computer Vision | Use computer vision techniques to detect and analyze language learning from images or video in real-time with high accuracy. | Computer Vision | YOLO, Python, OpenCV",0.11060965
Genomic Crop Yield Analysis Pipeline,"Apply computational methods to analyze biological data related to crop yield, enabling insights into sequences, structures, or functions.",Bioinformatics,"BLAST, Biopython, Python, R",2025.0,https://www.google.com/search?q=Genomic+Crop+Yield+Analysis+Pipeline,"Genomic Crop Yield Analysis Pipeline | Apply computational methods to analyze biological data related to crop yield, enabling insights into sequences, structures, or functions. | Bioinformatics | BLAST, Biopython, Python, R",0.36546528
Marketplace for Speech Emotion,"Build a web platform that enables users to manage and interact with speech emotion data, featuring authentication, dashboards, and real-time updates.",Web Development,"CSS, JavaScript, MongoDB, Express, React",2025.0,https://www.google.com/search?q=Marketplace+for+Speech+Emotion,"Marketplace for Speech Emotion | Build a web platform that enables users to manage and interact with speech emotion data, featuring authentication, dashboards, and real-time updates. | Web Development | CSS, JavaScript, MongoDB, Express, React",0.21065474
Path Planning for Sign Language Robot,"Develop a robotic system capable of performing sign language tasks autonomously using sensors, actuators and planning algorithms.",Robotics,"Python, OpenCV, Motor Drivers, C++, Arduino",2025.0,https://www.google.com/search?q=Path+Planning+for+Sign+Language+Robot,"Path Planning for Sign Language Robot | Develop a robotic system capable of performing sign language tasks autonomously using sensors, actuators and planning algorithms. | Robotics | Python, OpenCV, Motor Drivers, C++, Arduino",0.34180796
Embedded Drone Navigation Monitoring Unit,"Develop a low-power embedded unit for monitoring or controlling drone navigation, optimized for resource constraints.",Embedded Systems,"C++, Serial Communication",2022.0,https://www.google.com/search?q=Embedded+Drone+Navigation+Monitoring+Unit,"Embedded Drone Navigation Monitoring Unit | Develop a low-power embedded unit for monitoring or controlling drone navigation, optimized for resource constraints. | Embedded Systems | C++, Serial Communication",0.30057108
AI-powered License Plate Predictor,This project develops an AI model to license plate by training deep neural networks on relevant datasets and evaluating performance on accuracy and robustness metrics.,AI,"Python, HuggingFace, OpenAI API",2024.0,https://www.google.com/search?q=AI-powered+License+Plate+Predictor,"AI-powered License Plate Predictor | This project develops an AI model to license plate by training deep neural networks on relevant datasets and evaluating performance on accuracy and robustness metrics. | AI | Python, HuggingFace, OpenAI API",0.39152724
Decentralized Energy Consumption Marketplace,Design a decentralized application using smart contracts to manage energy consumption transactions with transparency and immutability.,Blockchain,"Solidity, Hardhat, Ethereum, Truffle",2025.0,https://www.google.com/search?q=Decentralized+Energy+Consumption+Marketplace,"Decentralized Energy Consumption Marketplace | Design a decentralized application using smart contracts to manage energy consumption transactions with transparency and immutability. | Blockchain | Solidity, Hardhat, Ethereum, Truffle",0.13500369
Mobile App for Deception Detection Management,Create a cross-platform mobile application to help users manage deception detection with an intuitive UI and backend services.,Mobile Development,"React Native, Swift, Android SDK, iOS SDK, Flutter",2022.0,https://www.google.com/search?q=Mobile+App+for+Deception+Detection+Management,"Mobile App for Deception Detection Management | Create a cross-platform mobile application to help users manage deception detection with an intuitive UI and backend services. | Mobile Development | React Native, Swift, Android SDK, iOS SDK, Flutter",0.3509183
VR Training Simulator for Customer Churn,Create an immersive AR/VR experience to visualize or simulate customer churn for training and interactive exploration.,AR/VR,"ARKit, Unity, ARCore, Blender, Unreal Engine",2025.0,https://www.google.com/search?q=VR+Training+Simulator+for+Customer+Churn,"VR Training Simulator for Customer Churn | Create an immersive AR/VR experience to visualize or simulate customer churn for training and interactive exploration. | AR/VR | ARKit, Unity, ARCore, Blender, Unreal Engine",0.28726202
Smart Handwritten Digits using IoT,"Design and prototype an IoT system for monitoring handwritten digits using sensors, microcontrollers and cloud services for data logging and remote control.",IoT,"Sensors, Raspberry Pi, MQTT",2023.0,https://www.google.com/search?q=Smart+Handwritten+Digits+using+IoT,"Smart Handwritten Digits using IoT | Design and prototype an IoT system for monitoring handwritten digits using sensors, microcontrollers and cloud services for data logging and remote control. | IoT | Sensors, Raspberry Pi, MQTT",0.0647344
Adaptive Handwritten Digits Interface,Design and evaluate an interactive interface that improves user experience around handwritten digits through prototyping and user studies.,Human-Computer Interaction,"Figma, A/B Testing, User Studies, React",2025.0,https://www.google.com/search?q=Adaptive+Handwritten+Digits+Interface,"Adaptive Handwritten Digits Interface | Design and evaluate an interactive interface that improves user experience around handwritten digits through prototyping and user studies. | Human-Computer Interaction | Figma, A/B Testing, User Studies, React",0.3023138
Smart Contract-based Air Quality System,Design a decentralized application using smart contracts to manage air quality transactions with transparency and immutability.,Blockchain,"Truffle, Ethereum, IPFS, Solidity, Web3.js",2024.0,https://www.google.com/search?q=Smart+Contract-based+Air+Quality+System,"Smart Contract-based Air Quality System | Design a decentralized application using smart contracts to manage air quality transactions with transparency and immutability. | Blockchain | Truffle, Ethereum, IPFS, Solidity, Web3.js",0.21397984
Infrastructure-as-Code for Sign Language,Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to sign language reliably.,DevOps,"CI/CD, Ansible, Terraform, Jenkins",2023.0,https://www.google.com/search?q=Infrastructure-as-Code+for+Sign+Language,"Infrastructure-as-Code for Sign Language | Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to sign language reliably. | DevOps | CI/CD, Ansible, Terraform, Jenkins",0.28451908
Mobile App for Waste Management Management,Create a cross-platform mobile application to help users manage waste management with an intuitive UI and backend services.,Mobile Development,"Flutter, iOS SDK, Firebase, Swift",2024.0,https://www.google.com/search?q=Mobile+App+for+Waste+Management+Management,"Mobile App for Waste Management Management | Create a cross-platform mobile application to help users manage waste management with an intuitive UI and backend services. | Mobile Development | Flutter, iOS SDK, Firebase, Swift",0.33481795
Edge-based Air Quality Analytics,"Process air quality data at the edge to reduce latency and bandwidth, deploying lightweight ML models on edge devices.",Edge Computing,"TensorFlow Lite, Edge TPU",2024.0,https://www.google.com/search?q=Edge-based+Air+Quality+Analytics,"Edge-based Air Quality Analytics | Process air quality data at the edge to reduce latency and bandwidth, deploying lightweight ML models on edge devices. | Edge Computing | TensorFlow Lite, Edge TPU",0.17802238
Decentralized Remote Monitoring Marketplace,Design a decentralized application using smart contracts to manage remote monitoring transactions with transparency and immutability.,Blockchain,"Hardhat, IPFS, Solidity",2024.0,https://www.google.com/search?q=Decentralized+Remote+Monitoring+Marketplace,"Decentralized Remote Monitoring Marketplace | Design a decentralized application using smart contracts to manage remote monitoring transactions with transparency and immutability. | Blockchain | Hardhat, IPFS, Solidity",0.27236027
VR Training Simulator for Ride Sharing,Create an immersive AR/VR experience to visualize or simulate ride sharing for training and interactive exploration.,AR/VR,"Unreal Engine, C#, Blender, ARKit",2024.0,https://www.google.com/search?q=VR+Training+Simulator+for+Ride+Sharing,"VR Training Simulator for Ride Sharing | Create an immersive AR/VR experience to visualize or simulate ride sharing for training and interactive exploration. | AR/VR | Unreal Engine, C#, Blender, ARKit",0.16449583
Real-time Autonomous Delivery Detection System,Use computer vision techniques to detect and analyze autonomous delivery from images or video in real-time with high accuracy.,Computer Vision,"OpenCV, TensorFlow",2024.0,https://www.google.com/search?q=Real-time+Autonomous+Delivery+Detection+System,"Real-time Autonomous Delivery Detection System | Use computer vision techniques to detect and analyze autonomous delivery from images or video in real-time with high accuracy. | Computer Vision | OpenCV, TensorFlow",0.38402158
SDN-based Retail Sales Traffic Optimizer,Develop monitoring and optimization techniques to improve network performance for retail sales scenarios using simulation and real traces.,Networks,"OpenFlow, Cisco, TCP/IP",2025.0,https://www.google.com/search?q=SDN-based+Retail+Sales+Traffic+Optimizer,"SDN-based Retail Sales Traffic Optimizer | Develop monitoring and optimization techniques to improve network performance for retail sales scenarios using simulation and real traces. | Networks | OpenFlow, Cisco, TCP/IP",0.16924024
Progressive Web App for Handwritten Digits,"Build a web platform that enables users to manage and interact with handwritten digits data, featuring authentication, dashboards, and real-time updates.",Web Development,"JavaScript, Next.js, Django, Node.js",2025.0,https://www.google.com/search?q=Progressive+Web+App+for+Handwritten+Digits,"Progressive Web App for Handwritten Digits | Build a web platform that enables users to manage and interact with handwritten digits data, featuring authentication, dashboards, and real-time updates. | Web Development | JavaScript, Next.js, Django, Node.js",0.3023138
e-Learning Platform for Supply Chain,Build an adaptive learning platform focused on supply chain with personalized content and progress tracking for learners.,Education Technology,"React, Django, LMS, Video Streaming",2025.0,https://www.google.com/search?q=e-Learning+Platform+for+Supply+Chain,"e-Learning Platform for Supply Chain | Build an adaptive learning platform focused on supply chain with personalized content and progress tracking for learners. | Education Technology | React, Django, LMS, Video Streaming",0.2642039
Recommendations for Plant Disease on E-commerce,Build an intelligent storefront or recommendation system to enhance plant disease shopping and transaction workflows online.,E-commerce,"Firebase, Node.js, Stripe API, MongoDB",2023.0,https://www.google.com/search?q=Recommendations+for+Plant+Disease+on+E-commerce,"Recommendations for Plant Disease on E-commerce | Build an intelligent storefront or recommendation system to enhance plant disease shopping and transaction workflows online. | E-commerce | Firebase, Node.js, Stripe API, MongoDB",0.31743217
Cloud-native Resume Parsing Service using Kubernetes,"Implement a scalable cloud solution for processing resume parsing workloads, using containerization and orchestration for reliability.",Cloud Computing,"AWS, Terraform, Docker, Azure",2022.0,https://www.google.com/search?q=Cloud-native+Resume+Parsing+Service+using+Kubernetes,"Cloud-native Resume Parsing Service using Kubernetes | Implement a scalable cloud solution for processing resume parsing workloads, using containerization and orchestration for reliability. | Cloud Computing | AWS, Terraform, Docker, Azure",0.2486167
HR Analytics Chatbot with NLP,"Build an NLP system to process hr analytics text, performing classification, summarization or conversational tasks.",Natural Language Processing,"spaCy, BERT, GPT, Transformers",2022.0,https://www.google.com/search?q=HR+Analytics+Chatbot+with+NLP,"HR Analytics Chatbot with NLP | Build an NLP system to process hr analytics text, performing classification, summarization or conversational tasks. | Natural Language Processing | spaCy, BERT, GPT, Transformers",0.2180233
Waste Sorting Platform with Real-time Features,"Build a web platform that enables users to manage and interact with waste sorting data, featuring authentication, dashboards, and real-time updates.",Web Development,"Express, JavaScript",2024.0,https://www.google.com/search?q=Waste+Sorting+Platform+with+Real-time+Features,"Waste Sorting Platform with Real-time Features | Build a web platform that enables users to manage and interact with waste sorting data, featuring authentication, dashboards, and real-time updates. | Web Development | Express, JavaScript",0.27670383
Data-driven Inventory Recommendation Engine,A data-driven project that collects and analyses inventory data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science,"Matplotlib, Pandas",2025.0,https://www.google.com/search?q=Data-driven+Inventory+Recommendation+Engine,"Data-driven Inventory Recommendation Engine | A data-driven project that collects and analyses inventory data to build predictive models and visualizations to guide stakeholders' decisions. | Data Science | Matplotlib, Pandas",0.15121722
Remote Customer Churn Control via MQTT,"Design and prototype an IoT system for monitoring customer churn using sensors, microcontrollers and cloud services for data logging and remote control.",IoT,"ESP32, Raspberry Pi, LoRa, C++, MQTT",2022.0,https://www.google.com/search?q=Remote+Customer+Churn+Control+via+MQTT,"Remote Customer Churn Control via MQTT | Design and prototype an IoT system for monitoring customer churn using sensors, microcontrollers and cloud services for data logging and remote control. | IoT | ESP32, Raspberry Pi, LoRa, C++, MQTT",0.19219446
Text Classification for Time Series Forecasting,"Build an NLP system to process time series forecasting text, performing classification, summarization or conversational tasks.",Natural Language Processing,"Transformers, spaCy, NLTK",2024.0,https://www.google.com/search?q=Text+Classification+for+Time+Series+Forecasting,"Text Classification for Time Series Forecasting | Build an NLP system to process time series forecasting text, performing classification, summarization or conversational tasks. | Natural Language Processing | Transformers, spaCy, NLTK",0.31639963
Medical Imaging Analysis and Prediction System,A data-driven project that collects and analyses medical imaging data to build predictive models and visualizations to guide stakeholders' decisions.,Data Science,"SQL, scikit-learn, Seaborn",2025.0,https://www.google.com/search?q=Medical+Imaging+Analysis+and+Prediction+System,"Medical Imaging Analysis and Prediction System | A data-driven project that collects and analyses medical imaging data to build predictive models and visualizations to guide stakeholders' decisions. | Data Science | SQL, scikit-learn, Seaborn",0.20858228
Decentralized Music Recommendation Marketplace,Design a decentralized application using smart contracts to manage music recommendation transactions with transparency and immutability.,Blockchain,"Truffle, Web3.js, Hardhat",2025.0,https://www.google.com/search?q=Decentralized+Music+Recommendation+Marketplace,"Decentralized Music Recommendation Marketplace | Design a decentralized application using smart contracts to manage music recommendation transactions with transparency and immutability. | Blockchain | Truffle, Web3.js, Hardhat",0.2911499
Cloud-native Customer Churn Service using Kubernetes,"Implement a scalable cloud solution for processing customer churn workloads, using containerization and orchestration for reliability.",Cloud Computing,"AWS, Terraform, GCP, Kubernetes",2024.0,https://www.google.com/search?q=Cloud-native+Customer+Churn+Service+using+Kubernetes,"Cloud-native Customer Churn Service using Kubernetes | Implement a scalable cloud solution for processing customer churn workloads, using containerization and orchestration for reliability. | Cloud Computing | AWS, Terraform, GCP, Kubernetes",0.2486167
Scalable Traffic on Cloud,"Implement a scalable cloud solution for processing traffic workloads, using containerization and orchestration for reliability.",Cloud Computing,"GCP, Terraform, Docker, Kubernetes, AWS",2024.0,https://www.google.com/search?q=Scalable+Traffic+on+Cloud,"Scalable Traffic on Cloud | Implement a scalable cloud solution for processing traffic workloads, using containerization and orchestration for reliability. | Cloud Computing | GCP, Terraform, Docker, Kubernetes, AWS",0.18982041
Network Face Mask Detection Monitoring Dashboard,Develop monitoring and optimization techniques to improve network performance for face mask detection scenarios using simulation and real traces.,Networks,"SDN, TCP/IP",2024.0,https://www.google.com/search?q=Network+Face+Mask+Detection+Monitoring+Dashboard,"Network Face Mask Detection Monitoring Dashboard | Develop monitoring and optimization techniques to improve network performance for face mask detection scenarios using simulation and real traces. | Networks | SDN, TCP/IP",0.3733995
Intelligent Energy Trading Storefront,Build an intelligent storefront or recommendation system to enhance energy trading shopping and transaction workflows online.,E-commerce,"MongoDB, React, Stripe API, Node.js",2024.0,https://www.google.com/search?q=Intelligent+Energy+Trading+Storefront,"Intelligent Energy Trading Storefront | Build an intelligent storefront or recommendation system to enhance energy trading shopping and transaction workflows online. | E-commerce | MongoDB, React, Stripe API, Node.js",0.2915696
IoT-based Parking Slot Detection Monitoring System,"Design and prototype an IoT system for monitoring parking slot detection using sensors, microcontrollers and cloud services for data logging and remote control.",IoT,"LoRa, ESP32, MQTT, Sensors",2024.0,https://www.google.com/search?q=IoT-based+Parking+Slot+Detection+Monitoring+System,"IoT-based Parking Slot Detection Monitoring System | Design and prototype an IoT system for monitoring parking slot detection using sensors, microcontrollers and cloud services for data logging and remote control. | IoT | LoRa, ESP32, MQTT, Sensors",0.19772607
Cross-platform Smart Home App using Flutter,Create a cross-platform mobile application to help users manage smart home with an intuitive UI and backend services.,Mobile Development,"Firebase, iOS SDK, Kotlin",2024.0,https://www.google.com/search?q=Cross-platform+Smart+Home+App+using+Flutter,"Cross-platform Smart Home App using Flutter | Create a cross-platform mobile application to help users manage smart home with an intuitive UI and backend services. | Mobile Development | Firebase, iOS SDK, Kotlin",0.20171422
Autonomous Inventory with Reinforcement Learning,This project develops an AI model to inventory by training deep neural networks on relevant datasets and evaluating performance on accuracy and robustness metrics.,AI,"Transformers, HuggingFace, Keras",2024.0,https://www.google.com/search?q=Autonomous+Inventory+with+Reinforcement+Learning,"Autonomous Inventory with Reinforcement Learning | This project develops an AI model to inventory by training deep neural networks on relevant datasets and evaluating performance on accuracy and robustness metrics. | AI | Transformers, HuggingFace, Keras",0.3418157
Text Classification for Autonomous Delivery,"Build an NLP system to process autonomous delivery text, performing classification, summarization or conversational tasks.",Natural Language Processing,"HuggingFace, spaCy, BERT, Transformers, NLTK",2025.0,https://www.google.com/search?q=Text+Classification+for+Autonomous+Delivery,"Text Classification for Autonomous Delivery | Build an NLP system to process autonomous delivery text, performing classification, summarization or conversational tasks. | Natural Language Processing | HuggingFace, spaCy, BERT, Transformers, NLTK",0.2901926
Real-time Resume Parsing Detection System,Use computer vision techniques to detect and analyze resume parsing from images or video in real-time with high accuracy.,Computer Vision,"Python, YOLO",2023.0,https://www.google.com/search?q=Real-time+Resume+Parsing+Detection+System,"Real-time Resume Parsing Detection System | Use computer vision techniques to detect and analyze resume parsing from images or video in real-time with high accuracy. | Computer Vision | Python, YOLO",0.3839544
Mobile App for Plant Disease Management,Create a cross-platform mobile application to help users manage plant disease with an intuitive UI and backend services.,Mobile Development,"React Native, Swift",2024.0,https://www.google.com/search?q=Mobile+App+for+Plant+Disease+Management,"Mobile App for Plant Disease Management | Create a cross-platform mobile application to help users manage plant disease with an intuitive UI and backend services. | Mobile Development | React Native, Swift",0.19702387
Progressive Web App for Autonomous Delivery,"Build a web platform that enables users to manage and interact with autonomous delivery data, featuring authentication, dashboards, and real-time updates.",Web Development,"Django, Next.js, React",2023.0,https://www.google.com/search?q=Progressive+Web+App+for+Autonomous+Delivery,"Progressive Web App for Autonomous Delivery | Build a web platform that enables users to manage and interact with autonomous delivery data, featuring authentication, dashboards, and real-time updates. | Web Development | Django, Next.js, React",0.2476229
Smart Noise Monitoring using Deep Learning,This project develops an AI model to noise monitoring by training deep neural networks on relevant datasets and evaluating performance on accuracy and robustness metrics.,AI,"scikit-learn, PyTorch, OpenAI API, Keras, HuggingFace",2022.0,https://www.google.com/search?q=Smart+Noise+Monitoring+using+Deep+Learning,"Smart Noise Monitoring using Deep Learning | This project develops an AI model to noise monitoring by training deep neural networks on relevant datasets and evaluating performance on accuracy and robustness metrics. | AI | scikit-learn, PyTorch, OpenAI API, Keras, HuggingFace",0.09203887
Smart Contract-based Fake News System,Design a decentralized application using smart contracts to manage fake news transactions with transparency and immutability.,Blockchain,"Truffle, Hardhat, Web3.js",2025.0,https://www.google.com/search?q=Smart+Contract-based+Fake+News+System,"Smart Contract-based Fake News System | Design a decentralized application using smart contracts to manage fake news transactions with transparency and immutability. | Blockchain | Truffle, Hardhat, Web3.js",0.2878437
Usability Study and Prototype for Virtual Classroom,Design and evaluate an interactive interface that improves user experience around virtual classroom through prototyping and user studies.,Human-Computer Interaction,"React, User Studies, A/B Testing, Figma",2023.0,https://www.google.com/search?q=Usability+Study+and+Prototype+for+Virtual+Classroom,"Usability Study and Prototype for Virtual Classroom | Design and evaluate an interactive interface that improves user experience around virtual classroom through prototyping and user studies. | Human-Computer Interaction | React, User Studies, A/B Testing, Figma",0.23464882
Smart Contract-based Language Learning System,Design a decentralized application using smart contracts to manage language learning transactions with transparency and immutability.,Blockchain,"IPFS, Ethereum, Web3.js, Hardhat, Solidity",2025.0,https://www.google.com/search?q=Smart+Contract-based+Language+Learning+System,"Smart Contract-based Language Learning System | Design a decentralized application using smart contracts to manage language learning transactions with transparency and immutability. | Blockchain | IPFS, Ethereum, Web3.js, Hardhat, Solidity",0.32149184
Smart Contract-based Water Quality System,Design a decentralized application using smart contracts to manage water quality transactions with transparency and immutability.,Blockchain,"Hardhat, Solidity, Ethereum, IPFS",2023.0,https://www.google.com/search?q=Smart+Contract-based+Water+Quality+System,"Smart Contract-based Water Quality System | Design a decentralized application using smart contracts to manage water quality transactions with transparency and immutability. | Blockchain | Hardhat, Solidity, Ethereum, IPFS",0.21397984
Crowd Counting Vulnerability Scanner,"Implement security tools and experiments to detect, prevent or analyze attacks related to crowd counting, with focus on practical defenses and testing.",Cybersecurity,"Python, Snort",2023.0,https://www.google.com/search?q=Crowd+Counting+Vulnerability+Scanner,"Crowd Counting Vulnerability Scanner | Implement security tools and experiments to detect, prevent or analyze attacks related to crowd counting, with focus on practical defenses and testing. | Cybersecurity | Python, Snort",0.39067423
Adaptive Smart Home Interface,Design and evaluate an interactive interface that improves user experience around smart home through prototyping and user studies.,Human-Computer Interaction,"A/B Testing, React, Figma",2025.0,https://www.google.com/search?q=Adaptive+Smart+Home+Interface,"Adaptive Smart Home Interface | Design and evaluate an interactive interface that improves user experience around smart home through prototyping and user studies. | Human-Computer Interaction | A/B Testing, React, Figma",0.3144498
Network Emotion Recognition Monitoring Dashboard,Develop monitoring and optimization techniques to improve network performance for emotion recognition scenarios using simulation and real traces.,Networks,"Cisco, OpenFlow",2025.0,https://www.google.com/search?q=Network+Emotion+Recognition+Monitoring+Dashboard,"Network Emotion Recognition Monitoring Dashboard | Develop monitoring and optimization techniques to improve network performance for emotion recognition scenarios using simulation and real traces. | Networks | Cisco, OpenFlow",0.27650607
AR-based Deception Detection Visualization,Create an immersive AR/VR experience to visualize or simulate deception detection for training and interactive exploration.,AR/VR,"Unreal Engine, C#, ARKit, Blender, Unity",2024.0,https://www.google.com/search?q=AR-based+Deception+Detection+Visualization,"AR-based Deception Detection Visualization | Create an immersive AR/VR experience to visualize or simulate deception detection for training and interactive exploration. | AR/VR | Unreal Engine, C#, ARKit, Blender, Unity",0.24445522
Automated Parking Slot Detection CI/CD Pipeline,Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to parking slot detection reliably.,DevOps,"Docker, Ansible, Jenkins, Terraform, CI/CD",2022.0,https://www.google.com/search?q=Automated+Parking+Slot+Detection+CI%2FCD+Pipeline,"Automated Parking Slot Detection CI/CD Pipeline | Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to parking slot detection reliably. | DevOps | Docker, Ansible, Jenkins, Terraform, CI/CD",0.26880485
VR Training Simulator for Student Performance,Create an immersive AR/VR experience to visualize or simulate student performance for training and interactive exploration.,AR/VR,"Unity, C#, ARKit",2023.0,https://www.google.com/search?q=VR+Training+Simulator+for+Student+Performance,"VR Training Simulator for Student Performance | Create an immersive AR/VR experience to visualize or simulate student performance for training and interactive exploration. | AR/VR | Unity, C#, ARKit",0.2096042
Usability Study and Prototype for Attendance,Design and evaluate an interactive interface that improves user experience around attendance through prototyping and user studies.,Human-Computer Interaction,"User Studies, React, A/B Testing, Figma",2024.0,https://www.google.com/search?q=Usability+Study+and+Prototype+for+Attendance,"Usability Study and Prototype for Attendance | Design and evaluate an interactive interface that improves user experience around attendance through prototyping and user studies. | Human-Computer Interaction | User Studies, React, A/B Testing, Figma",0.26701725
Recommendations for Waste Management on E-commerce,Build an intelligent storefront or recommendation system to enhance waste management shopping and transaction workflows online.,E-commerce,"React, Firebase, MongoDB",2025.0,https://www.google.com/search?q=Recommendations+for+Waste+Management+on+E-commerce,"Recommendations for Waste Management on E-commerce | Build an intelligent storefront or recommendation system to enhance waste management shopping and transaction workflows online. | E-commerce | React, Firebase, MongoDB",0.28001344
Mobile App for Crop Yield Management,Create a cross-platform mobile application to help users manage crop yield with an intuitive UI and backend services.,Mobile Development,"React Native, Swift, Flutter",2024.0,https://www.google.com/search?q=Mobile+App+for+Crop+Yield+Management,"Mobile App for Crop Yield Management | Create a cross-platform mobile application to help users manage crop yield with an intuitive UI and backend services. | Mobile Development | React Native, Swift, Flutter",0.19702387
Cross-platform Autonomous Delivery App using Flutter,Create a cross-platform mobile application to help users manage autonomous delivery with an intuitive UI and backend services.,Mobile Development,"React Native, Firebase, Android SDK, Flutter",2025.0,https://www.google.com/search?q=Cross-platform+Autonomous+Delivery+App+using+Flutter,"Cross-platform Autonomous Delivery App using Flutter | Create a cross-platform mobile application to help users manage autonomous delivery with an intuitive UI and backend services. | Mobile Development | React Native, Firebase, Android SDK, Flutter",0.20171422
Autonomous Inventory Robot,"Develop a robotic system capable of performing inventory tasks autonomously using sensors, actuators and planning algorithms.",Robotics,"C++, OpenCV",2025.0,https://www.google.com/search?q=Autonomous+Inventory+Robot,"Autonomous Inventory Robot | Develop a robotic system capable of performing inventory tasks autonomously using sensors, actuators and planning algorithms. | Robotics | C++, OpenCV",0.30674863
Automated Remote Monitoring CI/CD Pipeline,Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to remote monitoring reliably.,DevOps,"Ansible, Docker",2022.0,https://www.google.com/search?q=Automated+Remote+Monitoring+CI%2FCD+Pipeline,"Automated Remote Monitoring CI/CD Pipeline | Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to remote monitoring reliably. | DevOps | Ansible, Docker",0.1374917
